,MJD-OBS,TELRA,TELDEC,AMSTART,fn,On Slit,Binary Component,Nod Position
145,59291.301159,10:49:12.001,-53:19:06.43,1.372,SDCS_20210317_0086.fits,Y,A,A
146,59291.301844,10:49:12.179,-53:19:04.73,1.376,SDCS_20210317_0087.fits,Y,A,B
147,59291.301984,10:49:12.178,-53:19:04.73,1.376,SDCS_20210317_0088.fits,Y,A,B
148,59291.302666,10:49:12.178,-53:19:04.72,1.38,SDCS_20210317_0089.fits,Y,A,B
149,59291.303353,10:49:12.177,-53:19:04.72,1.383,SDCS_20210317_0090.fits,Y,A,B
150,59291.304037,10:49:12.177,-53:19:04.72,1.386,SDCS_20210317_0091.fits,Y,A,B
151,59291.3052,10:49:12.287,-53:19:02.71,1.392,SDCS_20210317_0092.fits,N,-,-
152,59291.305823,10:49:12.287,-53:19:02.71,1.395,SDCS_20210317_0093.fits,N,-,-
153,59291.306449,10:49:12.074,-53:19:07.41,1.398,SDCS_20210317_0094.fits,Y,B,A
154,59291.306672,10:49:12.074,-53:19:07.41,1.399,SDCS_20210317_0095.fits,Y,B,A
155,59291.306998,10:49:12.063,-53:19:07.21,1.401,SDCS_20210317_0096.fits,Y,B,A
156,59291.307175,10:49:12.063,-53:19:07.21,1.402,SDCS_20210317_0097.fits,Y,B,A
157,59291.307604,10:49:12.085,-53:19:07.40,1.404,SDCS_20210317_0098.fits,Y,B,A
158,59291.30791,10:49:12.073,-53:19:07.20,1.406,SDCS_20210317_0099.fits,Y,B,A
159,59291.308124,10:49:12.073,-53:19:07.20,1.407,SDCS_20210317_0100.fits,Y,B,A
160,59291.308325,10:49:12.073,-53:19:07.20,1.408,SDCS_20210317_0101.fits,Y,B,A
161,59291.308708,10:49:12.073,-53:19:07.20,1.41,SDCS_20210317_0102.fits,Y,B,A
162,59291.309258,10:49:12.089,-53:19:07.35,1.413,SDCS_20210317_0103.fits,Y,B,A
163,59291.309533,10:49:12.077,-53:19:07.25,1.414,SDCS_20210317_0104.fits,Y,B,A
164,59291.310215,10:49:12.077,-53:19:07.24,1.418,SDCS_20210317_0105.fits,Y,B,A
165,59291.310764,10:49:12.255,-53:19:05.54,1.421,SDCS_20210317_0106.fits,Y,B,B
166,59291.31145,10:49:12.254,-53:19:05.54,1.424,SDCS_20210317_0107.fits,Y,B,B
167,59291.312134,10:49:12.254,-53:19:05.54,1.428,SDCS_20210317_0108.fits,Y,B,B
168,59291.312822,10:49:12.253,-53:19:05.53,1.432,SDCS_20210317_0109.fits,Y,B,B
